lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1,train/mat_precision,train/mat_recall,train/mat_f1
,,299,2.0,0.05276187136769295,0.9815999865531921,0.6697835922241211,0.7698924541473389,0.7078251838684082,5.0900349617004395,104.0,3.903240442276001,9.046037673950195,0,,,,,,,,,,,,,,,
,,309,2.0,0.06928122043609619,0.9692000150680542,0.8000867962837219,0.8593320846557617,0.8266875743865967,5.4095048904418945,320.0,71.30992889404297,76.78871154785156,0,,,,,,,,,,,,,,,
,,319,2.0,0.0264115110039711,0.9902999997138977,0.8790679574012756,0.7771093249320984,0.8198857307434082,4.717236042022705,93.0,0.7585912942886353,5.502238750457764,0,,,,,,,,,,,,,,,
,,329,2.0,0.034149859100580215,0.9851999878883362,0.7997680902481079,0.9393693208694458,0.8555156588554382,3.478332996368408,132.0,10.10579776763916,13.618280410766602,0,,,,,,,,,,,,,,,
,,339,2.0,0.03255167976021767,0.9861000180244446,0.7732784152030945,0.9209834337234497,0.8305795192718506,2.735079765319824,106.0,3.9930965900421143,6.760727882385254,0,,,,,,,,,,,,,,,
,,349,2.0,0.021318092942237854,0.9921000003814697,0.8443920612335205,0.9348618984222412,0.8841572999954224,3.0864245891571045,88.0,6.347509860992432,9.455252647399902,0,,,,,,,,,,,,,,,
,,359,2.0,0.12171262502670288,0.9681000113487244,0.9140915870666504,0.682228147983551,0.7489839792251587,5.002925395965576,328.0,4.915265083312988,10.03990364074707,0,,,,,,,,,,,,,,,
,,369,2.0,0.028442339971661568,0.9955999851226807,0.8982421159744263,0.7530679106712341,0.8092384338378906,4.054529666900635,53.0,0.2333187609910965,4.316290855407715,0,,,,,,,,,,,,,,,
,,379,2.0,0.028148150071501732,0.9872999787330627,0.802280843257904,0.9404951333999634,0.857801079750061,3.338637590408325,94.0,10.180867195129395,13.547653198242188,0,,,,,,,,,,,,,,,
,,389,2.0,0.11044680327177048,0.9599999785423279,0.6948615908622742,0.5873114466667175,0.6179763674736023,4.735579013824463,357.0,13.789986610412598,18.63601303100586,0,,,,,,,,,,,,,,,
,,399,2.0,0.04049789905548096,0.9830999970436096,0.6290417909622192,0.8835508823394775,0.6906614899635315,3.3093955516815186,43.0,0.7431206107139587,4.093014240264893,0,,,,,,,,,,,,,,,
,,409,2.0,0.08066878467798233,0.9703999757766724,0.7769091129302979,0.7999143600463867,0.7879021763801575,3.955016613006592,197.0,18.041343688964844,22.077030181884766,0,,,,,,,,,,,,,,,
,,419,2.0,0.07990621775388718,0.9695000052452087,0.8056144714355469,0.6788831949234009,0.7241376638412476,4.504515171051025,299.0,2.713412046432495,7.297833442687988,0,,,,,,,,,,,,,,,
,,429,2.0,0.04007793962955475,0.9837999939918518,0.7914415597915649,0.8901985883712769,0.8331959247589111,2.766275405883789,109.0,2.9259660243988037,5.732319355010986,0,,,,,,,,,,,,,,,
,,439,2.0,0.07033564895391464,0.9725000262260437,0.6511699557304382,0.714503288269043,0.6768801808357239,4.398271560668945,171.0,28.531099319458008,32.99970626831055,0,,,,,,,,,,,,,,,
,,449,2.0,0.13102364540100098,0.9631999731063843,0.7673993110656738,0.6979417204856873,0.7268570065498352,5.49978494644165,357.0,7.353704929351807,12.984514236450195,0,,,,,,,,,,,,,,,
,,459,2.0,0.08934620022773743,0.9678999781608582,0.8445354700088501,0.7483342885971069,0.7877072691917419,4.503284931182861,327.0,3.5623581409454346,8.154989242553711,0,,,,,,,,,,,,,,,
,,469,2.0,0.04771469160914421,0.9817000031471252,0.8069561719894409,0.9322879314422607,0.8580857515335083,4.518896579742432,195.0,3.9003164768218994,8.466927528381348,0,,,,,,,,,,,,,,,
,,479,2.0,0.026467718183994293,0.9919000267982483,0.5845561623573303,0.6685183644294739,0.612250030040741,3.354017972946167,32.0,0.07333661615848541,3.453822374343872,0,,,,,,,,,,,,,,,
,,489,2.0,0.06835125386714935,0.9706000089645386,0.7955653667449951,0.862676739692688,0.8252662420272827,4.3550848960876465,368.0,34.30971908569336,38.733154296875,0,,,,,,,,,,,,,,,
,,499,2.0,0.008883371949195862,0.9970999956130981,0.8364560604095459,0.8288424015045166,0.8326051831245422,3.767507791519165,37.0,0.08759109675884247,3.8639824390411377,0,,,,,,,,,,,,,,,
,,509,2.0,0.04659852012991905,0.9850000143051147,0.9134176969528198,0.7223801612854004,0.7878478765487671,4.475255489349365,163.0,0.947485089302063,5.469338893890381,0,,,,,,,,,,,,,,,
,,519,2.0,0.04384608566761017,0.9832000136375427,0.8446804285049438,0.8763070106506348,0.8597437143325806,5.278085231781006,284.0,6.035227298736572,11.357158660888672,0,,,,,,,,,,,,,,,
,,529,2.0,0.01152882631868124,0.996999979019165,0.7217203974723816,0.8066897392272949,0.7573121786117554,3.0451700687408447,16.0,0.3425585925579071,3.3992574214935303,0,,,,,,,,,,,,,,,
