lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
,,509,2.0,0.06785964965820312,0.9751999974250793,0.6662636399269104,0.7814278602600098,0.7079482078552246,3.9143402576446533,99.0,2.787853717803955,6.770053863525391,0
,,519,2.0,0.04896402731537819,0.9811000227928162,0.6988131999969482,0.8250155448913574,0.7458434104919434,3.6786081790924072,108.0,18.526330947875977,22.253902435302734,0
,,529,2.0,0.05876483768224716,0.9803000092506409,0.7658222913742065,0.8699618577957153,0.8087408542633057,3.4966373443603516,196.0,11.86971378326416,15.425115585327148,0
,,539,2.0,0.05454842373728752,0.9840999841690063,0.5932478308677673,0.5999764204025269,0.5964875817298889,4.549445629119873,50.0,0.2662428915500641,4.870236873626709,0
,,549,2.0,0.060221076011657715,0.9760000109672546,0.734411895275116,0.9401971101760864,0.8033286333084106,3.5657665729522705,214.0,20.336660385131836,23.962648391723633,0
,,559,2.0,0.08005538582801819,0.9757000207901001,0.5076524019241333,0.5211929082870483,0.5097840428352356,4.134866237640381,38.0,0.06211897358298302,4.277040481567383,0
,,569,2.0,0.09682558476924896,0.9660999774932861,0.6129032969474792,0.6893059015274048,0.6403836011886597,4.85024356842041,95.0,4.043398380279541,8.990467071533203,0
,,579,2.0,0.06002342700958252,0.9789999723434448,0.7540157437324524,0.9354468584060669,0.8190029263496399,3.410203456878662,202.0,43.99384307861328,47.46406936645508,0
,,589,2.0,0.09138328582048416,0.9592000246047974,0.6571736335754395,0.7857269048690796,0.7004749178886414,4.532973766326904,220.0,58.870540618896484,63.494895935058594,0
,,599,2.0,0.055706627666950226,0.9750999808311462,0.6329632997512817,0.6906543970108032,0.6562595963478088,4.272748947143555,98.0,1.8254368305206299,6.153892517089844,0
,,609,2.0,0.11781884729862213,0.9585999846458435,0.6092175841331482,0.6805909872055054,0.634886622428894,5.793257236480713,218.0,14.465940475463867,20.377016067504883,0
,,619,2.0,0.015102489851415157,0.9965999722480774,0.6652653813362122,0.5480861663818359,0.5741482973098755,3.2311127185821533,18.0,0.3722350001335144,3.618450164794922,0
,,629,2.0,0.038299668580293655,0.9837999939918518,0.877147376537323,0.9149065017700195,0.8950340747833252,5.346864223480225,218.0,23.082365036010742,28.467529296875,0
,,639,2.0,0.05100644379854202,0.9850000143051147,0.6380407214164734,0.6777985095977783,0.655299186706543,3.624208688735962,60.0,1.1531883478164673,4.828403472900391,0
